date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_177_normalized,smart_177_raw,smart_178_normalized,smart_178_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_245_normalized,smart_245_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,source_file
2021-08-22,X880A0GXF97G,TOSHIBA MG07ACA14TA,14000519643136,1,100.0,0.0,100.0,0.0,100.0,7775.0,100.0,17.0,100.0,0.0,100.0,0.0,100.0,0.0,61.0,15700.0,100.0,0.0,,,100.0,16.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1.0,100.0,12.0,100.0,88.0,100.0,29.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,100.0,86114307.0,62.0,15572.0,100.0,0.0,100.0,0.0,,,100.0,590.0,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,2021-08-22.csv
2021-08-22,Z302SW94,ST4000DM000,4000787030016,1,115.0,88534112.0,,,91.0,0.0,100.0,21.0,100.0,120.0,84.0,294851584.0,,,41.0,51879.0,100.0,0.0,,,100.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,6.0,100.0,0.0,1.0,99.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,95.0,11951.0,26.0,26.0,,,,,100.0,16.0,100.0,16.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,51746.0,100.0,66713259920.0,100.0,322162370253.0,,,,,,,,,,,,,,,,,2021-08-22.csv
2021-07-24,Z304KR3Y,ST4000DM000,4000787030016,1,112.0,46574208.0,,,92.0,0.0,100.0,15.0,100.0,0.0,80.0,104162297.0,,,43.0,50784.0,100.0,0.0,,,100.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,97.0,6492.0,26.0,26.0,,,,,100.0,24.0,100.0,24.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,50691.0,100.0,64943514664.0,100.0,309886898556.0,,,,,,,,,,,,,,,,,2021-07-24.csv
2021-07-24,69J0A08GF97G,TOSHIBA MG07ACA14TA,14000519643136,1,100.0,0.0,100.0,0.0,100.0,7835.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,12938.0,100.0,0.0,,,100.0,7.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,17.0,100.0,3.0,100.0,147.0,100.0,29.0,,,100.0,0.0,100.0,1.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,100.0,18350089.0,68.0,12835.0,100.0,0.0,100.0,0.0,,,100.0,591.0,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,2021-07-24.csv
2021-07-24,ZHZ44ZL6,ST12000NM0008,12000138625024,1,80.0,112160354.0,,,93.0,0.0,100.0,6.0,100.0,7312.0,90.0,940541198.0,,,84.0,14585.0,100.0,0.0,,,100.0,6.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,190.0,100.0,8593342516.0,,,66.0,34.0,,,100.0,132.0,100.0,1876.0,34.0,34.0,1.0,112160354.0,,,94.0,3256.0,94.0,3256.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,14253.0,100.0,63878085128.0,100.0,197465099784.0,,,,,,,,,,,,,,,,,2021-07-24.csv
2021-07-24,ZA13RJ1Y,ST8000DM002,8001563222016,1,79.0,86980936.0,,,86.0,0.0,100.0,7.0,100.0,8.0,92.0,1515189451.0,,,54.0,40756.0,100.0,0.0,,,100.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,95.0,11156.0,100.0,1.0,76.0,48519.0,23.0,23.0,20.0,86980936.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,40709.0,100.0,84741024912.0,100.0,305091426034.0,,,,,,,,,,,,,,,,,2021-07-24.csv
2021-07-24,ZA10V55F,ST8000NM0055,8001563222016,1,65.0,154171130.0,,,98.0,0.0,100.0,2.0,100.0,456.0,79.0,84623049.0,,,99.0,1400.0,100.0,0.0,,,100.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,55.0,45.0,100.0,65537.0,100.0,0.0,66.0,34.0,100.0,1871.0,100.0,10.0,100.0,144.0,34.0,34.0,82.0,154171130.0,,,98.0,1000.0,98.0,1000.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1394.0,100.0,16705702832.0,100.0,20188251246.0,,,,,,,,,,,,,,,,,2021-07-24.csv
2021-07-24,ZLW0EFM8,ST12000NM001G,12000138625024,1,66.0,121112928.0,,,95.0,0.0,100.0,4.0,100.0,8.0,85.0,350746044.0,,,89.0,9944.0,100.0,0.0,,,100.0,4.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,417.0,100.0,0.0,,,70.0,30.0,,,100.0,0.0,100.0,894.0,30.0,30.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,9773.0,100.0,61852008104.0,100.0,120154209834.0,,,,,,,,,,,,,,,,,2021-07-24.csv
2021-07-24,ZTN0A5T2,ST12000NM001G,12000138625024,1,80.0,111025256.0,,,98.0,0.0,100.0,2.0,97.0,15288.0,77.0,54509660.0,,,100.0,339.0,100.0,0.0,,,100.0,2.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,5.0,100.0,17180131332.0,,,76.0,24.0,,,100.0,0.0,100.0,156.0,24.0,24.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,280.0,100.0,23440797280.0,100.0,8655270093.0,,,,,,,,,,,,,,,,,2021-07-24.csv
2021-09-17,17OYTGKXT,TOSHIBA MQ01ABF050,500107862016,1,100.0,0.0,100.0,0.0,100.0,1686.0,100.0,18.0,100.0,0.0,100.0,0.0,100.0,0.0,18.0,33086.0,100.0,0.0,,,100.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,3.0,100.0,5.0,100.0,9540.0,100.0,28.0,,,100.0,0.0,100.0,184.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,100.0,0.0,18.0,32949.0,100.0,0.0,100.0,0.0,,,100.0,248.0,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,2021-09-17.csv
