date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_171_normalized,smart_171_raw,smart_172_normalized,smart_172_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_177_normalized,smart_177_raw,smart_178_normalized,smart_178_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_230_normalized,smart_230_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_244_normalized,smart_244_raw,smart_245_normalized,smart_245_raw,smart_246_normalized,smart_246_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,source_file
2021-10-02,Z304HTJ6,ST4000DM000,4000787030016,1,117.0,143235240.0,,,91.0,0.0,100.0,14.0,100.0,8.0,88.0,788707908.0,,,42.0,51253.0,100.0,0.0,,,100.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,92.0,8.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,1.0,235439.0,22.0,22.0,,,,,100.0,112.0,100.0,112.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,49959.0,100.0,45253564776.0,100.0,479798535356.0,,,,,,,,,,,,,,,,,,,,,2021-10-02.csv
2021-10-02,Z304GR8P,ST4000DM000,4000787030016,1,120.0,244003688.0,,,91.0,0.0,100.0,30.0,100.0,0.0,85.0,344157460.0,,,41.0,52459.0,100.0,0.0,,,100.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,1.0,256.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,1.0,96.0,9132.0,22.0,22.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,52355.0,100.0,66657307672.0,100.0,393352941547.0,,,,,,,,,,,,,,,,,,,,,2021-10-02.csv
2021-10-02,ZL23JB13,ST16000NM001G,16000900661248,1,82.0,176433304.0,,,98.0,0.0,100.0,2.0,100.0,0.0,89.0,831733214.0,,,95.0,4929.0,100.0,0.0,,,100.0,2.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,69.0,31.0,,,100.0,0.0,100.0,1157.0,31.0,31.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,4555.0,100.0,47940981408.0,100.0,62833102668.0,,,,,,,,,,,,,,,,,,,,,2021-10-02.csv
2021-10-02,ZA213GMZ,ST10000NM0086,10000831348736,1,74.0,71437424.0,,,93.0,0.0,100.0,7.0,100.0,2177.0,87.0,513686898.0,,,60.0,35395.0,100.0,0.0,,,100.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,27.0,73.0,100.0,4295032833.0,86.0,14.0,79.0,21.0,1.0,251548.0,100.0,459.0,100.0,1676.0,21.0,21.0,79.0,71437424.0,,,100.0,160.0,100.0,160.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,35206.0,100.0,91596832448.0,100.0,303696636150.0,,,,,,,,,,,,,,,,,,,,,2021-10-02.csv
2021-10-02,ZL2D86NV,ST14000NM001G,14000519643136,1,81.0,117508912.0,,,99.0,0.0,100.0,1.0,100.0,0.0,84.0,254981020.0,,,99.0,1748.0,100.0,0.0,,,100.0,1.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,71.0,29.0,,,100.0,0.0,100.0,1097.0,29.0,29.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1377.0,100.0,29710118184.0,100.0,26071583234.0,,,,,,,,,,,,,,,,,,,,,2021-10-02.csv
2021-10-02,S301L4XY,ST4000DM000,4000787030016,1,102.0,5071976.0,,,91.0,0.0,100.0,26.0,100.0,0.0,82.0,183610568.0,,,41.0,52463.0,100.0,0.0,,,100.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,23.0,78.0,22.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,4.0,96.0,8438.0,23.0,23.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,52360.0,100.0,65811009000.0,100.0,422552157277.0,,,,,,,,,,,,,,,,,,,,,2021-10-02.csv
2021-10-02,61A0A01CF97G,TOSHIBA MG07ACA14TA,14000519643136,1,100.0,0.0,100.0,0.0,100.0,7813.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,97.0,1509.0,100.0,0.0,,,100.0,6.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,143.0,100.0,1.0,100.0,74.0,100.0,28.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,100.0,152829955.0,97.0,1460.0,100.0,0.0,100.0,0.0,,,100.0,596.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-02.csv
2021-10-02,HBSA21300200410,HP SSD S700 250GB,250059350016,1,100.0,1.0,,,,,,,100.0,4.0,,,,,100.0,302.0,,,,,100.0,13.0,,,,,,,,,,,,,,,,,100.0,2.0,100.0,91.0,100.0,12.0,100.0,8519.0,100.0,101.0,100.0,1.0,100.0,11.0,100.0,5050.0,100.0,100.0,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,4.0,,,,,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,100.0,12.0,,,100.0,32.0,100.0,0.0,100.0,2.0,100.0,4.0,100.0,2.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,91.0,,,,,,,,,100.0,14479.0,100.0,4012.0,,,100.0,36414.0,,,,,,,,,,,,,,,,,2021-10-02.csv
2021-10-02,Z850A01AF97G,TOSHIBA MG07ACA14TA,14000519643136,1,100.0,0.0,100.0,0.0,100.0,8118.0,100.0,2.0,100.0,5.0,100.0,0.0,100.0,0.0,59.0,16631.0,100.0,0.0,,,100.0,2.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1.0,100.0,1.0,100.0,8.0,100.0,30.0,,,100.0,5.0,100.0,1.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,100.0,35651585.0,59.0,16627.0,100.0,0.0,100.0,0.0,,,100.0,590.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-02.csv
2021-11-22,Z302SY9V,ST4000DM000,4000787030016,1,120.0,239753160.0,,,91.0,0.0,100.0,26.0,99.0,1696.0,86.0,451461066.0,,,39.0,54027.0,100.0,0.0,,,100.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,10.0,100.0,0.0,1.0,109.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,2.0,95.0,11141.0,30.0,30.0,,,,,100.0,64.0,100.0,64.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,53876.0,100.0,68012610256.0,100.0,463680135994.0,,,,,,,,,,,,,,,,,,,,,2021-11-22.csv
